(s,b,c) : belief state id
78,[0.602484 0.397516],14 : 666
76,[0.858407 0.141593],18 : 667
75,[0.548022 0.451978],13 : 668
65,[0.602484 0.397516],14 : 669
84,[0.602484 0.397516],14 : 670
85,[0.602484 0.397516],14 : 671
86,[0.602484 0.397516],14 : 672
86,[0.789861 0.210139],18 : 673
76,[0.548022 0.451978],13 : 674
67,[0.602484 0.397516],14 : 675
87,[0.602484 0.397516],14 : 676
77,[0.548022 0.451978],13 : 677
75,[0.492386 0.507614],17 : 678
76,[0.492386 0.507614],17 : 679
77,[0.492386 0.507614],17 : 680
67,[0.853372 0.146628],12 : 681
68,[0.853372 0.146628],12 : 682
66,[0.699519 0.300481],16 : 683
67,[0.699519 0.300481],16 : 684
68,[0.699519 0.300481],16 : 685
58,[0.699519 0.300481],11 : 686
58,[0 1],12 : 687
59,[0 1],12 : 688
68,[0.920886 0.079114],12 : 689
69,[0.897969 0.102031],12 : 690
69,[0.699519 0.300481],16 : 691
59,[0.699519 0.300481],11 : 692
48,[0.644908 0.355092],12 : 693
57,[0.602144 0.397856],13 : 694
58,[0.790956 0.209044],14 : 695
66,[0.386734 0.613266],14 : 696
67,[0.790956 0.209044],14 : 697
68,[0.790956 0.209044],14 : 698
66,[0.602144 0.397856],18 : 699
67,[0.602144 0.397856],18 : 700
68,[0.602144 0.397856],18 : 701
58,[0.900802 0.099198],13 : 702
59,[0.872871 0.127129],13 : 703
57,[0.644908 0.355092],17 : 704
58,[0.644908 0.355092],17 : 705
59,[0.644908 0.355092],17 : 706
58,[0.795082 0.204918],12 : 707
67,[0.763779 0.236221],13 : 708
56,[0.801653 0.198347],14 : 709
57,[0.801653 0.198347],14 : 710
66,[0.801653 0.198347],14 : 711
76,[0.801653 0.198347],14 : 712
77,[0.801653 0.198347],14 : 713
78,[0.801653 0.198347],14 : 714
76,[0.941748 0.0582525],18 : 715
68,[0.95098 0.0490196],13 : 716
69,[0.936177 0.0638232],13 : 717
67,[0.795082 0.204918],17 : 718
68,[0.795082 0.204918],17 : 719
69,[0.795082 0.204918],17 : 720
59,[0.679264 0.320736],12 : 721
48,[0.622956 0.377044],13 : 722
57,[0.579274 0.420726],14 : 723
58,[0.892021 0.107979],14 : 724
59,[0.861996 0.138004],14 : 725
57,[0.622956 0.377044],18 : 726
58,[0.622956 0.377044],18 : 727
59,[0.622956 0.377044],18 : 728
58,[0.779236 0.220764],13 : 729
67,[0.746285 0.253715],14 : 730
68,[0.946377 0.0536233],14 : 731
69,[0.930285 0.0697153],14 : 732
67,[0.779236 0.220764],18 : 733
68,[0.779236 0.220764],18 : 734
69,[0.779236 0.220764],18 : 735
59,[0.658311 0.341689],13 : 736
48,[0.600488 0.399512],14 : 737
58,[0.76253 0.23747],14 : 738
59,[0.636721 0.363279],14 : 739
68,[0.76253 0.23747],14 : 740
69,[0.76253 0.23747],14 : 741
68,[0.905955 0.0940451],18 : 742
68,[0.779236 0.220764],13 : 743
57,[0.815231 0.184769],14 : 744
58,[0.815231 0.184769],14 : 745
59,[0.815231 0.184769],14 : 746
67,[0.815231 0.184769],14 : 747
69,[0.815231 0.184769],14 : 748
77,[0.815231 0.184769],14 : 749
78,[0.815231 0.184769],14 : 750
79,[0.815231 0.184769],14 : 751
77,[0.946377 0.0536233],18 : 752
69,[0.779236 0.220764],13 : 753
68,[0.815231 0.184769],14 : 754
69,[0.720182 0.279818],14 : 755
78,[0.946377 0.0536233],18 : 756
68,[0.913712 0.0862875],17 : 757
68,[0.795082 0.204918],12 : 758
57,[0.82906 0.17094],13 : 759
58,[0.82906 0.17094],13 : 760
59,[0.82906 0.17094],13 : 761
67,[0.82906 0.17094],13 : 762
69,[0.82906 0.17094],13 : 763
77,[0.82906 0.17094],13 : 764
78,[0.82906 0.17094],13 : 765
79,[0.82906 0.17094],13 : 766
77,[0.95098 0.0490196],17 : 767
69,[0.795082 0.204918],12 : 768
68,[0.82906 0.17094],13 : 769
69,[0.738846 0.261154],13 : 770
58,[0.779564 0.220436],14 : 771
59,[0.779564 0.220436],14 : 772
68,[0.779564 0.220436],14 : 773
69,[0.673516 0.326484],14 : 774
78,[0.779564 0.220436],14 : 775
79,[0.779564 0.220436],14 : 776
78,[0.933975 0.0660248],18 : 777
68,[1 0],17 : 778
78,[0.95098 0.0490196],17 : 779
48,[1 0],16 : 780
58,[1 0],16 : 781
59,[0 1],16 : 782
68,[0.920886 0.079114],16 : 783
69,[0 1],16 : 784
49,[0.933191 0.0668092],6 : 785
39,[0.736398 0.263602],10 : 786
28,[0 1],11 : 787
29,[0 1],11 : 788
